account_id,signup_date,cohort_month,country,industry,company_size_bucket,initial_plan,acquisition_channel
ACC-00331,2023-05-17,2023-05-01,UK,HealthTech,200+,Basic,Partner
ACC-00332,2024-04-27,2024-04-01,CA,MarTech,51-200,Pro,Partner
ACC-00333,2024-09-02,2024-09-01,NL,SaaS,11-50,Pro,Organic
ACC-00334,2024-07-31,2024-07-01,US,MarTech,200+,Basic,Paid Search
ACC-00335,2023-06-18,2023-06-01,US,E-Commerce,1-10,Basic,Paid Search
ACC-00336,2023-04-04,2023-04-01,NL,HealthTech,1-10,Basic,Paid Search
ACC-00337,2024-07-31,2024-07-01,US,HealthTech,51-200,Pro,Paid Search
ACC-00338,2023-01-04,2023-01-01,CA,E-Commerce,1-10,Basic,Organic
ACC-00339,2023-03-03,2023-03-01,SE,SaaS,200+,Basic,Paid Search
ACC-00340,2023-05-19,2023-05-01,CA,HR Tech,11-50,Basic,Outbound
ACC-00341,2024-01-27,2024-01-01,UK,Logistics,11-50,Basic,Outbound
ACC-00342,2024-07-06,2024-07-01,US,Logistics,1-10,Enterprise,Paid Search
ACC-00343,2023-05-11,2023-05-01,CA,SaaS,1-10,Basic,Organic
ACC-00344,2024-11-20,2024-11-01,CA,HealthTech,11-50,Basic,Paid Search
ACC-00345,2023-06-08,2023-06-01,US,HR Tech,51-200,Basic,Partner
ACC-00346,2024-03-05,2024-03-01,FR,HR Tech,51-200,Basic,Organic
ACC-00347,2024-08-31,2024-08-01,US,E-Commerce,51-200,Basic,Partner
ACC-00348,2024-02-16,2024-02-01,UK,E-Commerce,51-200,Pro,Organic
ACC-00349,2023-10-24,2023-10-01,US,Logistics,11-50,Pro,Partner
ACC-00350,2023-11-25,2023-11-01,US,Logistics,200+,Pro,Paid Search
ACC-00351,2023-10-09,2023-10-01,US,HR Tech,51-200,Enterprise,Paid Search
ACC-00352,2024-03-13,2024-03-01,DE,SaaS,11-50,Pro,Paid Search
ACC-00353,2024-06-21,2024-06-01,US,HealthTech,1-10,Basic,Partner
ACC-00354,2024-04-29,2024-04-01,US,SaaS,51-200,Basic,Paid Search
ACC-00355,2023-03-01,2023-03-01,DE,HR Tech,11-50,Basic,Organic
ACC-00356,2023-07-28,2023-07-01,US,SaaS,11-50,Basic,Paid Search
ACC-00357,2023-07-15,2023-07-01,US,FinTech,11-50,Basic,Organic
ACC-00358,2024-08-24,2024-08-01,CA,E-Commerce,11-50,Enterprise,Organic
ACC-00359,2023-01-16,2023-01-01,US,SaaS,51-200,Pro,Partner
ACC-00360,2023-09-06,2023-09-01,CA,EdTech,11-50,Basic,Organic
ACC-00361,2023-10-17,2023-10-01,UK,E-Commerce,11-50,Basic,Paid Search
ACC-00362,2024-05-24,2024-05-01,UK,MarTech,51-200,Pro,Organic
ACC-00363,2023-07-28,2023-07-01,UK,HealthTech,11-50,Basic,Organic
ACC-00364,2023-09-25,2023-09-01,DE,E-Commerce,51-200,Basic,Organic
ACC-00365,2023-08-24,2023-08-01,UK,MarTech,11-50,Pro,Partner
ACC-00366,2023-09-21,2023-09-01,CA,HealthTech,51-200,Pro,Paid Search
ACC-00367,2023-12-27,2023-12-01,US,EdTech,11-50,Enterprise,Paid Search
ACC-00368,2024-10-19,2024-10-01,SE,E-Commerce,51-200,Basic,Partner
ACC-00369,2023-02-19,2023-02-01,CA,HealthTech,51-200,Basic,Partner
ACC-00370,2023-01-10,2023-01-01,US,HealthTech,1-10,Pro,Outbound
ACC-00371,2024-05-09,2024-05-01,FR,SaaS,11-50,Basic,Organic
ACC-00372,2023-10-09,2023-10-01,DE,FinTech,11-50,Pro,Paid Search
ACC-00373,2023-07-03,2023-07-01,US,SaaS,1-10,Basic,Paid Search
ACC-00374,2023-12-29,2023-12-01,US,FinTech,11-50,Basic,Paid Search
ACC-00375,2024-12-14,2024-12-01,US,EdTech,51-200,Pro,Outbound
ACC-00376,2023-02-02,2023-02-01,US,FinTech,11-50,Basic,Organic
ACC-00377,2023-06-25,2023-06-01,US,MarTech,11-50,Basic,Outbound
ACC-00378,2023-04-08,2023-04-01,NL,Logistics,1-10,Enterprise,Partner
ACC-00379,2024-08-03,2024-08-01,UK,SaaS,1-10,Enterprise,Outbound
ACC-00380,2024-07-31,2024-07-01,FR,SaaS,51-200,Basic,Organic
ACC-00381,2023-05-28,2023-05-01,CA,EdTech,11-50,Basic,Organic
ACC-00382,2023-09-04,2023-09-01,DE,MarTech,51-200,Pro,Paid Search
ACC-00383,2023-05-24,2023-05-01,AU,EdTech,1-10,Pro,Organic
ACC-00384,2023-04-11,2023-04-01,UK,MarTech,11-50,Pro,Outbound
ACC-00385,2024-02-11,2024-02-01,SE,FinTech,11-50,Pro,Paid Search
ACC-00386,2023-08-22,2023-08-01,UK,HR Tech,11-50,Pro,Partner
ACC-00387,2023-03-29,2023-03-01,CA,FinTech,1-10,Basic,Organic
ACC-00388,2024-01-25,2024-01-01,CA,E-Commerce,51-200,Basic,Organic
ACC-00389,2023-01-06,2023-01-01,SE,HealthTech,51-200,Basic,Organic
ACC-00390,2024-03-17,2024-03-01,UK,E-Commerce,11-50,Basic,Paid Search
ACC-00391,2023-04-06,2023-04-01,DE,MarTech,51-200,Basic,Paid Search
ACC-00392,2023-03-28,2023-03-01,CA,E-Commerce,200+,Basic,Paid Search
ACC-00393,2024-12-02,2024-12-01,UK,SaaS,11-50,Pro,Organic
ACC-00394,2024-03-21,2024-03-01,US,FinTech,51-200,Basic,Outbound
ACC-00395,2024-10-02,2024-10-01,UK,E-Commerce,11-50,Basic,Organic
ACC-00396,2024-02-10,2024-02-01,US,E-Commerce,51-200,Basic,Organic
ACC-00397,2024-10-28,2024-10-01,SE,SaaS,11-50,Enterprise,Organic
ACC-00398,2023-11-18,2023-11-01,US,FinTech,11-50,Pro,Paid Search
ACC-00399,2024-08-12,2024-08-01,AU,FinTech,1-10,Pro,Paid Search
ACC-00400,2024-07-31,2024-07-01,US,HR Tech,1-10,Pro,Organic
ACC-00401,2024-04-17,2024-04-01,SE,SaaS,51-200,Enterprise,Organic
ACC-00402,2024-02-23,2024-02-01,FR,SaaS,11-50,Basic,Organic
ACC-00403,2024-03-09,2024-03-01,AU,SaaS,200+,Pro,Paid Search
ACC-00404,2024-06-02,2024-06-01,NL,Logistics,11-50,Basic,Outbound
ACC-00405,2024-12-19,2024-12-01,NL,E-Commerce,11-50,Basic,Partner
ACC-00406,2024-11-04,2024-11-01,FR,SaaS,11-50,Pro,Paid Search
ACC-00407,2024-10-24,2024-10-01,UK,MarTech,200+,Basic,Organic
ACC-00408,2023-09-22,2023-09-01,US,EdTech,11-50,Pro,Organic
ACC-00409,2024-01-19,2024-01-01,UK,MarTech,11-50,Pro,Organic
ACC-00410,2023-01-26,2023-01-01,UK,FinTech,200+,Basic,Partner
ACC-00411,2023-05-26,2023-05-01,US,FinTech,51-200,Pro,Organic
ACC-00412,2023-04-10,2023-04-01,UK,EdTech,11-50,Basic,Partner
ACC-00413,2023-04-28,2023-04-01,US,FinTech,1-10,Enterprise,Outbound
ACC-00414,2023-09-07,2023-09-01,DE,E-Commerce,11-50,Basic,Paid Search
ACC-00415,2024-02-19,2024-02-01,FR,SaaS,51-200,Basic,Partner
ACC-00416,2023-07-22,2023-07-01,UK,HealthTech,1-10,Basic,Organic
ACC-00417,2024-12-21,2024-12-01,AU,SaaS,1-10,Enterprise,Organic
ACC-00418,2023-11-30,2023-11-01,US,SaaS,51-200,Pro,Outbound
ACC-00419,2023-11-17,2023-11-01,DE,E-Commerce,11-50,Basic,Partner
ACC-00420,2024-09-24,2024-09-01,US,EdTech,51-200,Enterprise,Paid Search
ACC-00421,2024-11-19,2024-11-01,US,SaaS,11-50,Basic,Partner
ACC-00422,2024-06-07,2024-06-01,UK,E-Commerce,11-50,Basic,Paid Search
ACC-00423,2024-07-04,2024-07-01,CA,E-Commerce,200+,Pro,Paid Search
ACC-00424,2023-05-24,2023-05-01,US,MarTech,11-50,Enterprise,Outbound
ACC-00425,2024-05-11,2024-05-01,US,MarTech,200+,Pro,Paid Search
ACC-00426,2024-12-02,2024-12-01,UK,EdTech,11-50,Basic,Paid Search
ACC-00427,2023-08-14,2023-08-01,US,FinTech,11-50,Basic,Paid Search
ACC-00428,2024-05-22,2024-05-01,DE,SaaS,1-10,Pro,Partner
ACC-00429,2024-01-11,2024-01-01,DE,MarTech,51-200,Basic,Organic
ACC-00430,2024-03-11,2024-03-01,US,MarTech,51-200,Basic,Outbound
ACC-00431,2024-04-05,2024-04-01,US,Logistics,1-10,Enterprise,Organic
ACC-00432,2023-08-31,2023-08-01,US,EdTech,51-200,Enterprise,Paid Search
ACC-00433,2024-03-14,2024-03-01,US,SaaS,1-10,Basic,Organic
ACC-00434,2023-12-26,2023-12-01,DE,E-Commerce,1-10,Enterprise,Organic
ACC-00435,2024-08-09,2024-08-01,US,Logistics,200+,Pro,Organic
ACC-00436,2024-02-26,2024-02-01,NL,HR Tech,51-200,Basic,Outbound
ACC-00437,2023-09-13,2023-09-01,US,FinTech,1-10,Enterprise,Paid Search
ACC-00438,2023-05-26,2023-05-01,DE,FinTech,11-50,Pro,Paid Search
ACC-00439,2023-04-06,2023-04-01,UK,EdTech,51-200,Enterprise,Paid Search
ACC-00440,2024-05-14,2024-05-01,US,SaaS,51-200,Pro,Partner
ACC-00441,2024-04-14,2024-04-01,FR,EdTech,51-200,Pro,Paid Search
ACC-00442,2024-03-15,2024-03-01,AU,HealthTech,11-50,Basic,Paid Search
ACC-00443,2023-05-14,2023-05-01,DE,HealthTech,11-50,Pro,Organic
ACC-00444,2023-04-12,2023-04-01,FR,MarTech,1-10,Enterprise,Organic
ACC-00445,2024-04-12,2024-04-01,US,HR Tech,1-10,Pro,Organic
ACC-00446,2024-10-27,2024-10-01,US,Logistics,51-200,Basic,Paid Search
ACC-00447,2023-03-26,2023-03-01,UK,Logistics,1-10,Basic,Organic
ACC-00448,2024-12-17,2024-12-01,CA,HealthTech,1-10,Basic,Organic
ACC-00449,2023-03-21,2023-03-01,US,SaaS,51-200,Basic,Partner
ACC-00450,2023-05-04,2023-05-01,SE,HealthTech,1-10,Basic,Paid Search
ACC-00451,2023-04-15,2023-04-01,US,FinTech,1-10,Basic,Partner
ACC-00452,2023-05-17,2023-05-01,FR,EdTech,1-10,Pro,Paid Search
ACC-00453,2023-06-18,2023-06-01,UK,EdTech,11-50,Basic,Paid Search
ACC-00454,2024-12-04,2024-12-01,UK,SaaS,51-200,Basic,Organic
ACC-00455,2024-01-29,2024-01-01,UK,HealthTech,51-200,Basic,Paid Search
ACC-00456,2023-09-12,2023-09-01,DE,E-Commerce,11-50,Pro,Partner
ACC-00457,2024-11-05,2024-11-01,NL,SaaS,11-50,Basic,Paid Search
ACC-00458,2024-10-23,2024-10-01,US,Logistics,200+,Pro,Organic
ACC-00459,2024-05-26,2024-05-01,FR,SaaS,51-200,Basic,Paid Search
ACC-00460,2023-11-21,2023-11-01,US,Logistics,11-50,Basic,Partner
ACC-00461,2024-04-27,2024-04-01,SE,MarTech,1-10,Basic,Organic
ACC-00462,2023-02-10,2023-02-01,NL,HR Tech,11-50,Basic,Partner
ACC-00463,2024-03-01,2024-03-01,UK,HealthTech,11-50,Pro,Organic
ACC-00464,2023-03-27,2023-03-01,US,E-Commerce,1-10,Enterprise,Paid Search
ACC-00465,2024-02-05,2024-02-01,DE,MarTech,11-50,Pro,Organic
ACC-00466,2024-03-23,2024-03-01,CA,MarTech,1-10,Basic,Paid Search
ACC-00467,2024-04-09,2024-04-01,FR,SaaS,51-200,Pro,Organic
ACC-00468,2023-01-13,2023-01-01,CA,EdTech,1-10,Enterprise,Paid Search
ACC-00469,2023-09-23,2023-09-01,US,SaaS,51-200,Basic,Outbound
ACC-00470,2023-01-31,2023-01-01,US,HealthTech,11-50,Basic,Outbound
ACC-00471,2024-10-04,2024-10-01,US,HealthTech,11-50,Pro,Paid Search
ACC-00472,2024-01-12,2024-01-01,US,MarTech,51-200,Pro,Organic
ACC-00473,2024-06-05,2024-06-01,US,Logistics,1-10,Basic,Paid Search
ACC-00474,2023-06-03,2023-06-01,US,HR Tech,1-10,Enterprise,Partner
ACC-00475,2024-11-02,2024-11-01,UK,FinTech,11-50,Pro,Organic
ACC-00476,2023-03-21,2023-03-01,DE,SaaS,51-200,Basic,Organic
ACC-00477,2024-06-12,2024-06-01,SE,HR Tech,1-10,Pro,Organic
ACC-00478,2023-11-15,2023-11-01,US,E-Commerce,1-10,Basic,Paid Search
ACC-00479,2023-11-08,2023-11-01,CA,SaaS,11-50,Enterprise,Outbound
ACC-00480,2023-07-20,2023-07-01,CA,E-Commerce,51-200,Basic,Outbound
ACC-00481,2023-01-25,2023-01-01,US,FinTech,51-200,Enterprise,Outbound
ACC-00482,2023-01-02,2023-01-01,CA,FinTech,51-200,Basic,Organic
ACC-00483,2023-09-01,2023-09-01,UK,HR Tech,200+,Basic,Organic
ACC-00484,2023-02-14,2023-02-01,NL,Logistics,11-50,Pro,Paid Search
ACC-00485,2023-03-28,2023-03-01,DE,E-Commerce,11-50,Basic,Paid Search
ACC-00486,2023-03-05,2023-03-01,UK,HR Tech,1-10,Basic,Organic
ACC-00487,2024-02-07,2024-02-01,CA,EdTech,11-50,Basic,Organic
ACC-00488,2023-07-27,2023-07-01,US,MarTech,1-10,Basic,Paid Search
ACC-00489,2023-11-18,2023-11-01,UK,E-Commerce,200+,Basic,Organic
ACC-00490,2023-09-29,2023-09-01,NL,SaaS,51-200,Basic,Partner
ACC-00491,2024-09-09,2024-09-01,US,MarTech,11-50,Basic,Organic
ACC-00492,2023-12-31,2023-12-01,UK,SaaS,1-10,Enterprise,Organic
ACC-00493,2024-02-19,2024-02-01,NL,E-Commerce,11-50,Basic,Organic
ACC-00494,2023-05-24,2023-05-01,US,SaaS,51-200,Basic,Organic
ACC-00495,2024-02-15,2024-02-01,UK,E-Commerce,11-50,Pro,Organic
ACC-00496,2023-03-18,2023-03-01,US,SaaS,200+,Basic,Organic
ACC-00497,2023-12-06,2023-12-01,US,HR Tech,1-10,Enterprise,Paid Search
ACC-00498,2024-02-09,2024-02-01,UK,FinTech,11-50,Basic,Outbound
ACC-00499,2023-10-09,2023-10-01,US,Logistics,1-10,Pro,Organic
ACC-00500,2023-10-30,2023-10-01,UK,Logistics,11-50,Basic,Paid Search
ACC-00501,2024-03-05,2024-03-01,US,Logistics,11-50,Pro,Partner
ACC-00502,2023-01-20,2023-01-01,SE,MarTech,11-50,Pro,Paid Search
ACC-00503,2024-08-02,2024-08-01,DE,FinTech,1-10,Basic,Organic
ACC-00504,2023-10-15,2023-10-01,US,HR Tech,11-50,Pro,Outbound
ACC-00505,2023-06-13,2023-06-01,US,EdTech,1-10,Enterprise,Outbound
ACC-00506,2023-02-27,2023-02-01,CA,HR Tech,11-50,Enterprise,Paid Search
ACC-00507,2023-06-27,2023-06-01,US,E-Commerce,51-200,Pro,Outbound
ACC-00508,2023-01-29,2023-01-01,CA,FinTech,11-50,Basic,Outbound
ACC-00509,2024-05-19,2024-05-01,DE,SaaS,1-10,Basic,Paid Search
ACC-00510,2023-01-21,2023-01-01,DE,SaaS,200+,Basic,Organic
ACC-00511,2023-07-01,2023-07-01,NL,MarTech,11-50,Basic,Paid Search
ACC-00512,2023-05-26,2023-05-01,CA,MarTech,51-200,Enterprise,Paid Search
ACC-00513,2024-11-09,2024-11-01,UK,SaaS,11-50,Basic,Organic
ACC-00514,2024-03-23,2024-03-01,AU,HR Tech,11-50,Basic,Outbound
ACC-00515,2024-12-11,2024-12-01,NL,E-Commerce,11-50,Pro,Partner
ACC-00516,2024-01-23,2024-01-01,US,EdTech,1-10,Pro,Outbound
ACC-00517,2024-08-09,2024-08-01,UK,HR Tech,200+,Basic,Paid Search
ACC-00518,2024-09-18,2024-09-01,US,E-Commerce,200+,Basic,Partner
ACC-00519,2023-09-01,2023-09-01,US,FinTech,11-50,Enterprise,Partner
ACC-00520,2024-11-17,2024-11-01,FR,Logistics,11-50,Basic,Organic
ACC-00521,2023-03-11,2023-03-01,UK,MarTech,51-200,Basic,Paid Search
ACC-00522,2024-03-05,2024-03-01,SE,Logistics,11-50,Basic,Paid Search
ACC-00523,2023-04-14,2023-04-01,AU,MarTech,11-50,Pro,Organic
ACC-00524,2024-04-07,2024-04-01,US,MarTech,1-10,Basic,Outbound
ACC-00525,2023-03-17,2023-03-01,US,Logistics,1-10,Basic,Outbound
ACC-00526,2023-04-06,2023-04-01,US,HR Tech,51-200,Pro,Paid Search
ACC-00527,2024-10-31,2024-10-01,US,Logistics,1-10,Basic,Organic
ACC-00528,2023-07-14,2023-07-01,UK,E-Commerce,200+,Pro,Partner
ACC-00529,2023-11-01,2023-11-01,US,SaaS,11-50,Enterprise,Organic
ACC-00530,2024-01-05,2024-01-01,US,SaaS,51-200,Pro,Paid Search
ACC-00531,2023-04-10,2023-04-01,US,SaaS,1-10,Basic,Partner
ACC-00532,2023-11-12,2023-11-01,AU,HealthTech,51-200,Basic,Paid Search
ACC-00533,2024-02-01,2024-02-01,US,Logistics,11-50,Basic,Organic
ACC-00534,2024-04-21,2024-04-01,US,MarTech,11-50,Basic,Partner
ACC-00535,2023-04-10,2023-04-01,US,FinTech,11-50,Enterprise,Paid Search
ACC-00536,2024-07-20,2024-07-01,US,FinTech,11-50,Enterprise,Partner
ACC-00537,2024-05-01,2024-05-01,DE,SaaS,1-10,Basic,Outbound
ACC-00538,2023-02-05,2023-02-01,DE,Logistics,51-200,Pro,Paid Search
ACC-00539,2023-05-04,2023-05-01,SE,HealthTech,200+,Basic,Organic
ACC-00540,2023-07-17,2023-07-01,US,HealthTech,200+,Basic,Outbound
ACC-00541,2024-10-04,2024-10-01,US,E-Commerce,11-50,Pro,Partner
ACC-00542,2023-03-31,2023-03-01,UK,FinTech,11-50,Basic,Paid Search
ACC-00543,2023-01-13,2023-01-01,AU,E-Commerce,11-50,Basic,Paid Search
ACC-00544,2023-06-01,2023-06-01,DE,E-Commerce,200+,Basic,Organic
ACC-00545,2023-04-14,2023-04-01,AU,Logistics,51-200,Enterprise,Organic
ACC-00546,2024-11-01,2024-11-01,UK,E-Commerce,1-10,Basic,Organic
ACC-00547,2024-09-15,2024-09-01,CA,HealthTech,11-50,Enterprise,Partner
ACC-00548,2023-02-20,2023-02-01,CA,Logistics,51-200,Basic,Partner
ACC-00549,2023-11-07,2023-11-01,US,MarTech,51-200,Pro,Outbound
ACC-00550,2023-08-22,2023-08-01,US,HR Tech,11-50,Enterprise,Organic
ACC-00551,2024-03-02,2024-03-01,FR,SaaS,11-50,Enterprise,Paid Search
ACC-00552,2024-05-11,2024-05-01,CA,Logistics,51-200,Pro,Organic
ACC-00553,2023-11-15,2023-11-01,CA,HealthTech,51-200,Pro,Paid Search
ACC-00554,2023-06-27,2023-06-01,US,MarTech,51-200,Basic,Paid Search
ACC-00555,2024-01-05,2024-01-01,CA,FinTech,51-200,Pro,Paid Search
ACC-00556,2023-05-07,2023-05-01,CA,SaaS,11-50,Basic,Outbound
ACC-00557,2024-04-30,2024-04-01,DE,FinTech,1-10,Enterprise,Partner
ACC-00558,2024-12-06,2024-12-01,US,SaaS,1-10,Enterprise,Partner
ACC-00559,2023-08-08,2023-08-01,NL,E-Commerce,51-200,Basic,Paid Search
ACC-00560,2023-01-21,2023-01-01,NL,HR Tech,51-200,Pro,Organic
ACC-00561,2023-06-27,2023-06-01,FR,SaaS,1-10,Enterprise,Organic
ACC-00562,2024-12-27,2024-12-01,FR,HealthTech,11-50,Basic,Organic
ACC-00563,2024-04-22,2024-04-01,US,E-Commerce,11-50,Pro,Organic
ACC-00564,2024-11-09,2024-11-01,SE,MarTech,11-50,Pro,Organic
ACC-00565,2024-12-01,2024-12-01,US,SaaS,200+,Pro,Outbound
ACC-00566,2023-09-25,2023-09-01,FR,HR Tech,51-200,Basic,Paid Search
ACC-00567,2023-09-04,2023-09-01,NL,MarTech,51-200,Pro,Partner
ACC-00568,2024-11-28,2024-11-01,US,SaaS,11-50,Basic,Outbound
ACC-00569,2024-02-19,2024-02-01,UK,SaaS,51-200,Pro,Organic
ACC-00570,2024-12-31,2024-12-01,US,E-Commerce,51-200,Enterprise,Partner
ACC-00571,2024-06-03,2024-06-01,US,SaaS,51-200,Pro,Organic
ACC-00572,2024-04-27,2024-04-01,US,FinTech,51-200,Pro,Organic
ACC-00573,2024-11-27,2024-11-01,NL,EdTech,1-10,Basic,Outbound
ACC-00574,2024-03-06,2024-03-01,AU,FinTech,1-10,Basic,Outbound
ACC-00575,2024-04-26,2024-04-01,US,E-Commerce,11-50,Pro,Paid Search
ACC-00576,2023-07-19,2023-07-01,DE,Logistics,11-50,Basic,Organic
ACC-00577,2023-06-04,2023-06-01,US,SaaS,11-50,Pro,Outbound
ACC-00578,2024-04-13,2024-04-01,US,Logistics,1-10,Basic,Organic
ACC-00579,2023-07-01,2023-07-01,US,SaaS,11-50,Basic,Partner
ACC-00580,2024-08-13,2024-08-01,CA,HealthTech,51-200,Basic,Paid Search
ACC-00581,2024-10-10,2024-10-01,UK,HealthTech,11-50,Basic,Paid Search
ACC-00582,2024-01-18,2024-01-01,SE,Logistics,51-200,Pro,Organic
ACC-00583,2023-01-05,2023-01-01,FR,SaaS,51-200,Basic,Organic
ACC-00584,2024-01-28,2024-01-01,DE,FinTech,1-10,Basic,Outbound
ACC-00585,2024-04-11,2024-04-01,CA,E-Commerce,11-50,Enterprise,Outbound
ACC-00586,2023-12-17,2023-12-01,SE,HealthTech,51-200,Basic,Outbound
ACC-00587,2024-02-18,2024-02-01,US,SaaS,200+,Basic,Organic
ACC-00588,2024-05-31,2024-05-01,US,FinTech,51-200,Basic,Outbound
ACC-00589,2023-09-19,2023-09-01,CA,E-Commerce,11-50,Basic,Organic
ACC-00590,2023-01-21,2023-01-01,US,SaaS,11-50,Basic,Organic
ACC-00591,2024-12-19,2024-12-01,US,EdTech,11-50,Basic,Partner
ACC-00592,2024-11-09,2024-11-01,DE,E-Commerce,51-200,Basic,Outbound
ACC-00593,2024-06-07,2024-06-01,CA,SaaS,1-10,Basic,Organic
ACC-00594,2023-07-24,2023-07-01,CA,MarTech,200+,Basic,Paid Search
ACC-00595,2023-06-14,2023-06-01,US,HealthTech,1-10,Enterprise,Organic
ACC-00596,2023-01-03,2023-01-01,US,SaaS,1-10,Pro,Paid Search
ACC-00597,2023-04-03,2023-04-01,CA,SaaS,51-200,Enterprise,Paid Search
ACC-00598,2024-04-12,2024-04-01,SE,FinTech,11-50,Basic,Organic
ACC-00599,2023-02-10,2023-02-01,NL,FinTech,51-200,Basic,Organic
ACC-00600,2023-02-16,2023-02-01,US,SaaS,11-50,Basic,Outbound
ACC-00601,2024-09-28,2024-09-01,US,EdTech,11-50,Basic,Organic
ACC-00602,2024-02-14,2024-02-01,SE,FinTech,11-50,Enterprise,Partner
ACC-00603,2024-10-26,2024-10-01,NL,SaaS,1-10,Pro,Outbound
ACC-00604,2023-06-13,2023-06-01,US,Logistics,11-50,Pro,Paid Search
ACC-00605,2024-09-17,2024-09-01,UK,FinTech,1-10,Pro,Partner
ACC-00606,2023-05-14,2023-05-01,UK,HealthTech,51-200,Basic,Organic
ACC-00607,2024-11-01,2024-11-01,US,EdTech,51-200,Pro,Paid Search
ACC-00608,2024-08-01,2024-08-01,US,HR Tech,51-200,Pro,Partner
ACC-00609,2024-09-25,2024-09-01,US,EdTech,1-10,Basic,Partner
ACC-00610,2024-01-30,2024-01-01,US,MarTech,51-200,Pro,Organic
ACC-00611,2023-06-10,2023-06-01,DE,HealthTech,11-50,Basic,Partner
ACC-00612,2023-11-25,2023-11-01,US,HR Tech,1-10,Basic,Paid Search
ACC-00613,2024-02-17,2024-02-01,AU,SaaS,11-50,Pro,Organic
ACC-00614,2024-05-25,2024-05-01,UK,SaaS,11-50,Pro,Organic
ACC-00615,2024-02-27,2024-02-01,US,E-Commerce,51-200,Pro,Outbound
ACC-00616,2024-10-14,2024-10-01,US,E-Commerce,1-10,Pro,Outbound
ACC-00617,2024-01-08,2024-01-01,AU,MarTech,51-200,Basic,Partner
ACC-00618,2024-09-06,2024-09-01,UK,EdTech,51-200,Basic,Partner
ACC-00619,2023-08-16,2023-08-01,US,FinTech,11-50,Pro,Paid Search
ACC-00620,2024-01-18,2024-01-01,CA,SaaS,1-10,Basic,Partner
ACC-00621,2024-02-24,2024-02-01,US,E-Commerce,1-10,Enterprise,Paid Search
ACC-00622,2024-04-13,2024-04-01,AU,SaaS,11-50,Pro,Organic
ACC-00623,2024-10-10,2024-10-01,AU,E-Commerce,51-200,Pro,Partner
ACC-00624,2024-05-31,2024-05-01,US,HealthTech,11-50,Basic,Outbound
ACC-00625,2024-08-22,2024-08-01,UK,E-Commerce,200+,Basic,Paid Search
ACC-00626,2023-05-12,2023-05-01,US,EdTech,11-50,Basic,Outbound
ACC-00627,2024-03-04,2024-03-01,SE,Logistics,51-200,Basic,Outbound
ACC-00628,2023-10-29,2023-10-01,UK,SaaS,11-50,Pro,Partner
ACC-00629,2023-11-03,2023-11-01,AU,E-Commerce,11-50,Pro,Paid Search
ACC-00630,2023-08-11,2023-08-01,US,E-Commerce,1-10,Basic,Partner
ACC-00631,2024-12-28,2024-12-01,FR,HR Tech,11-50,Pro,Organic
ACC-00632,2023-04-29,2023-04-01,CA,E-Commerce,11-50,Enterprise,Partner
ACC-00633,2024-11-21,2024-11-01,CA,MarTech,1-10,Enterprise,Partner
ACC-00634,2024-06-19,2024-06-01,US,FinTech,1-10,Basic,Organic
ACC-00635,2023-06-14,2023-06-01,SE,EdTech,1-10,Basic,Partner
ACC-00636,2023-07-28,2023-07-01,CA,SaaS,51-200,Basic,Outbound
ACC-00637,2024-07-29,2024-07-01,NL,EdTech,11-50,Basic,Partner
ACC-00638,2024-12-13,2024-12-01,US,EdTech,200+,Basic,Outbound
ACC-00639,2024-12-02,2024-12-01,US,E-Commerce,1-10,Basic,Paid Search
ACC-00640,2024-03-29,2024-03-01,AU,Logistics,51-200,Pro,Partner
ACC-00641,2024-07-13,2024-07-01,CA,SaaS,51-200,Basic,Paid Search
ACC-00642,2024-11-30,2024-11-01,US,HR Tech,51-200,Basic,Organic
ACC-00643,2023-10-13,2023-10-01,DE,SaaS,11-50,Basic,Organic
ACC-00644,2024-12-27,2024-12-01,SE,SaaS,200+,Pro,Partner
ACC-00645,2024-10-02,2024-10-01,FR,EdTech,11-50,Pro,Paid Search
ACC-00646,2024-12-25,2024-12-01,US,SaaS,1-10,Basic,Paid Search
ACC-00647,2024-03-01,2024-03-01,DE,HealthTech,11-50,Enterprise,Partner
ACC-00648,2023-12-06,2023-12-01,UK,SaaS,51-200,Pro,Outbound
ACC-00649,2024-10-26,2024-10-01,US,EdTech,11-50,Enterprise,Paid Search
ACC-00650,2024-09-28,2024-09-01,US,SaaS,51-200,Basic,Partner
ACC-00651,2023-04-27,2023-04-01,UK,E-Commerce,1-10,Enterprise,Partner
ACC-00652,2024-01-19,2024-01-01,DE,E-Commerce,11-50,Basic,Partner
ACC-00653,2023-11-25,2023-11-01,DE,HR Tech,1-10,Enterprise,Paid Search
ACC-00654,2023-01-08,2023-01-01,FR,SaaS,11-50,Basic,Partner
ACC-00655,2023-04-17,2023-04-01,US,MarTech,51-200,Pro,Paid Search
ACC-00656,2023-03-15,2023-03-01,CA,SaaS,11-50,Basic,Organic
ACC-00657,2023-02-25,2023-02-01,US,FinTech,1-10,Enterprise,Outbound
ACC-00658,2024-02-22,2024-02-01,UK,E-Commerce,11-50,Basic,Partner
ACC-00659,2024-07-01,2024-07-01,US,EdTech,1-10,Pro,Organic
ACC-00660,2023-03-16,2023-03-01,UK,E-Commerce,1-10,Pro,Paid Search
ACC-00661,2023-10-16,2023-10-01,CA,HealthTech,11-50,Pro,Paid Search
